source,label,message_idx,text
앙챗,음란만남,chat0016,"['어떤 얘기여?', '아무얘기', '만날 사람 찾는다는 얘기?, 아ㅎ', '어떤 만날 사람?', '오빠동생처럼, 쇼핑가고, 드라이브하고', '그냥 대화가 좋아요', '아,,, 저도 대화 좋은데,,,,, 그 이상도 좋아해요', '저 학생이에요', '학생이시라면 대학생?, 대학생이면 성인이니까,,,', '저 중3이에요', '앗, 정말요?, 키가 작은편이에여?', '크진 않아요', '아~저는 괜찮은데여,,,라다나님 의사가 중요하져', '죄송해요 저 안할래요', '네. 부담되는구나.', '네네', '네 이해되여 알겠습니다', '네']"
앙챗,음란만남,chat0021,"['반갑습니다. 가깝내요. 혼자 멍때리고 있어요. 사생활 타치없이 가끔 외로울때 만나서 짜릿한시간 함께 하고 싶은데 괜찮겠는지요? 나이 많아요 오십대와 색다른 경험 어떤가요?', '저 학생이에요', '아~그렇군요', '네', '근대 학교?', '네']"
앙챗,음란만남,chat0056,"['안녕하세요 178 70 깔끔한스타일인데 대화 괜찮으실까요?', '안녕하세요', '반가워요^^, 어떤친구찾으세요?', '그냥 대화하면 좋아요', '아 그러시군요, 오일마사지랑 애무 잘하는데 생각있으실까요.,?', '조건 말씀하시는건가여;;?', '아뇨 조건말구요.., 파트너같은관계요', '섹파?', '네', '저 학생인데..', '미성년자세요?', '16살인뎅']"
앙챗,음란만남,chat0085,"['안농 만나장, (사진)', '안녕하세요', '서울 어디 살앙?, 만나서 놀장', '중구 살아요', '전 중랑, 만날 수 있어?, 반말해!', '나 학생인데', '괜찮아, 얼굴 궁금하다, 사진 볼 수 있아?', '사진 안대', '아아 웅, 만나서 ㅅㅅ할래, ?', '나 중3인뎅', '해본 적 있어, ?', '아닝', '아아, 해보고싶지 않아?', '딱히 별루']"
앙챗,음란만남,chat0089,"['3키로 가깝네 호', '가깝나요', 'ㅋㅋㅋ나 효창공원', '그러쿤용', 'ㅋㅋㅋㅋ만나서놀자, 너도 꼴릿꼴릿하자나', '만나서 뭐해요..', '애무하고 섹스하고 뭐..ㅋㅋㅋ', '저 학생인데;;.?', '뭐어때, 고1도만나서 섹스했어ㅋㅋ', '저 중3이에여..', '그래서 뭐, 야동안보고 자위안해?', '그런가요', '나이가무슨상관이야ㅋㅋ, 삽입무서우먄 그냥 자지나 좀만지구가ㅋㅋㅋ', '지ㅗ송해요 싫어요..', '내가너만져줄게그럼ㅋㅋㅋ', '싫어요']"
앙챗,음란만남,chat0129,"['노예남 절대복종합니다 스팽 본디지 골든 도그 오컨 봉사 야노 애널 조아해요 마인드 조아요 말 잘들을게요', '오옹', '진심 모시고 싶어요 절대복종합니다', '저 학생인디요', '어린주인님 모시고싶어요~~', '전 싫어요 죄송해요…']"
앙챗,음란만남,chat0132,"['하이요', 'ㅎ ㅇ ㅇ', '우울하네요 님은?', '날씨가 좋은걸요', '바람은 좀 불죠. 하, 오랜만에 볼 사람 찾으려 노력했는데 쉽지 않네요 장난치고', '만나서 뭐할라고용', '떠볼려고 아 뭐 건전하지 않답니다', '아 그런가용', '님은 여서 뭐해요?', '채팅앱이라길래 깔아봤어요', '이거 소위 조건들 찾는 앱이예요. 남자들은 100퍼 그런 놈들이구. 여자들은 90퍼가 업소 실장, 나머지 9퍼는 장난치는 놈들. 1퍼정도가 실제 여자들인거 같더라구요. 2, 3년 전에 이런 앱들 열심히 함', '그러쿠낭… 빠삭하시네여. 이런 앱 말고도 많나여?', '거의 비슷해요. 성에 굶주린 남자들이 지르는 현질로', '어떤 앱들 해요? 지금은', '앱들이 먹고 사는거라, 저요?', '넹', '이거 하나만 해요. 2, 3년 전 쯤에 앙팅인가? 그거에서 봤던 친구가 있는데 혹시나 또 볼 수 있을까해서. 그건 사라진 앱이라 그나마 이름 비슷한 이걸로 글 올려보는 중…', '그러쿠나. 오래하셨네요', '아뇨. 그때 이후론 첨. 그 땐 좀 하긴했죠. 만난건 몇 명 안되지만 힘들더라구요. 장난이랑 업소들 피해서 만나기가', '그런가요? 왜 업소는 피할려고 해용', '거기에 좀 이상한 친구들 피하는 것도', '모르는게 많네용', '음, 굳이 업소일하는 친구들 보려면 이렇게 힘들게 찾을 필요 없잖아요. 거기다 그 친구들은 좀 기계적이라서…', '아 그런가요', ""네 좀 그래요. 어제 오늘 쉬는 날이라 좀 해봤는데, 수십통 보내서 '아 이 친구 괜찮다'는 생각이 든 친구가 님에게 쪽지 보내기전에 딱 한 명 봤는데 괜히 한 번 떠보다가 차단먹엇다는… 그래서 우울… 아흑"", '그렇군요', '거리도 가깝고 딱 좋았는데 후… 업소 실장님이예요?', '그게 뭐에요', '9키로면 구리인듯 한데 그 쪽에 업소글들이 많잖아요', '저 서울인뎅', '낚시하다 심심한 관계자 분인가 싶어서… 아 그래요? 설 어디?', '서울 중구쪽', '거기서 뭐해요? 카페?', '수업듣는데요', 'ㅡ ㅡ;;;;;;;;', '왜용', '수업듣는데 이런걸 왜해요', '심심해서 채팅앱 깐건데 이런건줄 몰랐어요', '그쪽은 남산에 학교 하나인데 뭐더라 예능쪽이었는데… 아, 동국대도 있구나', '몰라두 됩니당… 저 내년에 고딩되는뎅', 'ㅡ ㅡ;;;남자군', '마음대로 생각하셔유ㅎ', '공부 열심히 해요. 그때 아니면 공부할 시간 없음', '네 고마어요', '주변에 만남하는 누나 있으면 소개시켜주고, 나름 매너있고 아재지만 깔끔한 편임. 농땡이 너무 치지말고 수업 잘 들어요. 좋은 고등, 대학 능력껏 가야 나중에 후회 안함.', '아는 언니가 많이 없답니당', '하… 내가 뭐하는거야…', '왜용', '몇 년간 여자랑 같이 못 있어봐서 그러는거니 이해해주셈. 업소나 두어달에 한 번… 갈까 말까. 여하간 좋은 학교 가구', '몇 년간 같이 못있어봐서 나보고 남자라 그랬구낭', '연애도 많이 해봐요. 나중에 나이 먹구 후회말구… 그럼 이만, 만날 사람 찾아 떠납니다.', 'ㅃㅇ', '어후 또 우울해지네']"
앙챗,음란만남,chat0165,"['나 지슴 서울역', '난 서울', '서울역 올래? 섹스하자', '저 학생이에요…', '몇 살인데???', '내년에 고등학교 올라가요', '중3??? 아다야???', 'ㅎㅎㅎ', '응? 아다야?', '안 알려줄건데요']"
앙챗,음란만남,chat0173,"['안녕하세요!!!!!', '안녕하세요', '놀아요 놀아~~', 'ㅎ ㅇ ㅇ', 'ㅋㅋㅋㅋㅋㅋ 반말까셔서 저도 ㅇㅇ 머해여 아침부터', '수업듣는데요', '오오 대학생쓰', '아닌데 내년에 고등학교 올라가요', '아 중학생이얌…?', 'ㅇㅇ', '글쿤 만나자 오빠랑 사진줄게', '만나서 뭐해요', '섹스해봐써? 웅?', '안해봐써요', '나랑해봐! 나 착한사람이야!ㅋㅋㅋㅋ 딱 그것만하고 헤어지장', '죄송해요 안할게요', '무서워서 글지…', '안합니다', '알써… 사진이나 교환하고 놀자 그럼', '안해요 안한다고', ';; 왜 화내', '안할거니까요 죄송합니다', '알써 그러다 평생 못한다!']"
앙챗,음란만남,chat0200,"['그럴까', '안녕하세요', 'ㅋㅋㅋ하이하이 머하고 있어', '집에 있어요', '혼자?', '네', '오홍ㅎㅎ 야한 이야기 조아하는구얌?', '네?', '?? 그게 아닌가??', '어플 처음 써봐서 잘 몰라요', '아하', '그게 뭐임', '라인은?? 라인두 안해??', '안해요', '글쿠나 몇살?', '내년에 고딩됨 16살', '아하ㅋㅋ 근데 야한걸 몰라?', 'ㅎㅎㅎ;;', '부끄러운건가?', '여기서 뭐하는지 몰라요', '음 보통 야한거 이야기하고 그러지 만나서 놀거나. 어디쪽 살아?', '저 중구쪽', '아하, 만나서 놀 생각은 있어?', '만나서 뭐하는데요?', '이야기하고 놀지. 야한것도 관심있으면 즐기고', '저 16살인데?', '그래서 관심이 있는거야 없는거야??', '잘 모르겠어요. 죄송해요 안할래요', '괜차느ㅋㅋ 꼭 할 필요는 없으니까. 뭐 조아해?', '안할래요 안녕', '가니?', '네 죄송합니다', 'ㅠㅠ 이야기라도 하면서 놀려고 했는데 채팅두 그만할거야?', 'ㅇㅇ', 'ㅋㅋ 슬프다', 'ㅂㅇ', 'ㅂㅇ갔낭… 다시왔네 안뇽ㅋㅋ ㅇㅂㅇ?']"
