source,label,message_idx,text
앙챗,음란채팅,chat0001,"['하이, 아침부터 꼴리네요', 'ㅎㅇ', '아침부터 꼴려서, 고추나 만지고 잇어요ㅎ', '네;;', '것도 회사에서, 비품실에서, ㅎㅎ, (사진), 어때용, 오나홀도 있어서, 그거 잴바르고, 넣으면 느낑 엄청좋아요, 보지살 느낌, 자지 별루에요?, 빨리고 싶은데, 나도 보지 빨고', ';;']"
앙챗,음란채팅,chat0003,"['ㅎㅇ', 'ㅎㅇ', '네 반가워요', '저도 반가워요', '야한얘기?', '다른 얘기..', '어떤?', '아무거나 ']"
앙챗,음란채팅,chat0011,"['ㅎㅇ요쪼기해요, 쪽지, ㅎㅇ요', '안녕하세요', 'ㅇㅇ남친있어?, 있어?ㅎ, ㅠㅠ', '없어요', 'ㅋ키스해바써?ㅎ', 'ㅎㅎ', '쪽지니편히말해바ㅎ해바써?', 'ㅎㅎ시러', 'ㅋㅋ내숭은, 해바찌?', 'ㄴㄴ', '야동은봐?평소', '안봐', '자위는해 평소?', 'ㄴㄴ', '해볼래?ㅎ', '실헝요']"
앙챗,음란채팅,chat0015,"['어 린 분 좋은데, 몇살에요', 16, '짐 어딘데여', '학교', '그래요. 겨 벅 몸 사 보여줘요', '싫어', '겸 둥이ㅋ, 앙 탈 어 린녀 이뽀요', ';;', '봊 지 핑 보일거같네여, 핑 보에 뽀 해줄까 요', '아니요', '왜여 싫어요ㅠ, 아 님 혀 로 날 름 할타 줄까영', '아니요 괜찮아요', '몾 지 벌 리고 보 면서 빠 라줄께여', '아니요 괜찮슴당', '얼 굴은 말고 몸 사만 보고싶어요, 내 꺼 만 지며 보고싶어서']"
앙챗,음란채팅,chat0031,"['라인으로 야하게 놀아요', '저 학생이에요', '몇살인데요?', '16살', 'ㅋㅋㅋㅋ학교야?, 몸평해줄래?', '네 학교에요', '라인은안해?', '네 라인 안해요']"
앙챗,음란채팅,chat0035,"['ㅎㅇ', 'ㅎㅇ', '좋은 아침ㅋ', '좋은 아침이에요', '모하구있어?', '그냥 있어요', '혼자? 모입고?', '학교에 그냥 있는데요']"
앙챗,음란채팅,chat0037,"['(음란사진)', ';;', 'ㅋ, 좆 처음보는 것도 아니면서 왜?', '저 학생이에요', '근데?, 좆 싫어하냐, 싫어하면 갈게?', '네', '알았어 잘있어', '안녕', '어 잘가 좆 좋아지면 언제든 말해']"
앙챗,음란채팅,chat0043,"['하이 나랑 야챗할래요?', '안녕하세요', '네 안녕하세요ㅎㅎ, 야챗 좋아해요?', '아니요', '아 ㅎㅎ야챗은 별로군요? 몇살이세요?', '저 학생이에요', '아ㅎㅎ고딩?', '중학생이에요', '지금 학교에요?', '넵넵', '이거 해도 되요?', '이거 그냥 채팅어플 아니에요?, 하면 안될 이유가 있남..', '맞아요ㅎㅎ수업 아니에요?', '맞아요', '안걸려요?', '몰래몰ㅎ래', 'ㅎㅎ, 학교는 언제 끝나요?', '3시 넘어서?', '아 그럼 학원?', 'ㅇㅇ ', '아ㅎㅎ, 바쁘군요, 남친있어요?', '몰라도됨']"
앙챗,음란채팅,chat0044,"['하이요 님 혹시 강간이나 성추행 당해본적 있어요?', '없어요', '버스나 지하철에서 몸만져진적 한번도 없어요??', '네 없어요', '자위해봤어요?', '네 없어요', '혹시 몇년생이에요?', '저 중3이에요', '중3인데 자위를 한번도 안해봤어요??', '왜 그런거 물어봐요', '궁금해서요, 키랑 몸무게가요?', '몰라요', '대답해요 어서', '몰라용', '통통해요?말랐어요?', '말랏어요', '브라 몇컵이에요?', '몰라도 돼요', '대답해요 어서', '싫어요', '혼날래요?', '아뇨 싫어용', '엉덩이좀 맞아야 겠어요', '?', '자위가르쳐줄까요?', '아뇨', '학겨안가고 머했어요', '지금 학교에요']"
앙챗,음란채팅,chat0046,"['어디야?', '학교', '야한얘기 어때?', '저 학생이에용', '학생은 쌕스 안해?', '저 중학생인데;;', '아 그래, 미안', '넴넴']"
