source,label,message_idx,text
앙챗,단순채팅,chat0004,"['아조씨랑 아무얘기ㄱㄱ', '안녕', '하이하이, 오늘 학교 안가심?, 말이 없누…학교갔나?', '넴', 'ㅋㅋㅋ수업중이겠네여', '이제 시작했어요', '무슨 전공이에유?', '저 중학생인데', '헐, 아조씨 괜차나여 근데?ㅋㅋ', '그냥 대환데요', '그니까여ㅋㅋ, 아재라고 말도 안섞어줌ㅠㅠㅠ흑..억장 무너짐', 'ㅎㅎ', '학교에서 인싸에요 아싸에여?', 'ㅇㅆ', 'ㅋㅋㅋㅋㅋㅋㅋㅋ올ㅋ, 아조씨는 썁찐따 아싸에연ㅠㅠㅠ', 'ㅊㅋㅊㅋ', 'ㄱㅅㄱㅅ']"
앙챗,단순채팅,chat0007,"['라디오 듣고싶다', '어떤 라디오?', '스푼 라디오같은, 목소리 좋은 일상라디오!', '어플인가요?', '네네 스푼라디오는 어플이에요ㅎㅎ', '라디오 들으세요', '님 목소리도 듣고싶어용', '싫어요ㅎ', '그..그래요…시무룩', 'ㅎㅎ', '그럼 얘기나해요!', '좋아요', '웅웅 좋아요ㅎㅎㅎ, 말편하게하세요!', 'ㅇㅋㅇㅋ', 'ㅇㅋㅇㅋ ㅋㅋㅋ밥먹엇어?', 'ㅇㅇ', '나도먹음', '뭐 먹었어요', '여자요', 'ㅎㅎ', '먹힐래요??', '싫어요']"
앙챗,단순채팅,chat0012,"['안녕ㅋㅋ', 'ㅎㅇ', '머함?', '그냥 있어요', '전화나 할래?', '전화는 안돼요', '그럼?ㅋㅋ', '그냥 대화해요']"
앙챗,단순채팅,chat0014,"['안뇽', 'ㅎㅇ', '머해여', '그냥 있어요', '몉살에용ㅎ', 16, '어리메욤, 학교는', '지금 학교에요', '아아ㅋㅋㅋ, 쉬는시간인가바요', 'ㅇㅇㅇ']"
앙챗,단순채팅,chat0020,"['안ㄴ ㅇ하셍~, 안녕하세요~, 학생이에요?', '네', '지금학교???', '네 학교 다녀요', '아~어디살아요??', '서울살아요', '저두요! 거리가 되게 가깝네요 ㅎ 몇살이에요?, 전 서울역근처에서 일하구있어요', '저 학생이에요, 16', '아~엄청어리시네ㅎ, 키랑몸무게가어케되요?', '그런게 궁금해요?', '그냥요~기분나빴다면죄송해요 ', '네']"
앙챗,단순채팅,chat0025,"['안녕하세요', 'ㅎㅇ', '답이늣었네요, 학생이세요', '네 학생이에요', '넹, 열공중이시겠네용', '네 맞아요', '좋은분같아요', '맞아요', '어굴도예쁘실것 같고요, 지역이어디세요', '서울이에요', '고3, 고2, 고1', '중3이에요', '네, 중3이면 남친도있나요', '네', '남친이 잘해주시나요', '네', '잘해주면 좋은일이죠', '그러쿤요', '남친하고 섹스도 하는 사이예요', '몰라도돼요', '넹, 알필요는 없죠', '넴', '잘해주고십어요, 필요하신거 있으면 말씀하세요', '네', '남친이있어서 만나지도못하공 어쩌낭']"
앙챗,단순채팅,chat0027,"['안녕하세요', '안녕', '넵', 'ㅇㅇ', '지역이 어디세요', '서울이요', '네, 저는 저는 강남이에요', '그러쿠나', '님은요? 서울어디세요?', '강북이에요', '스므고개?', '중구살아요', 'ㅎ, 넵, 학생이에요?', '네 중3', '아 지금 학굔가요?', '네', '와 진짜요?, 인증가능? ', '안돼요', '네, 요즘 무슨고민있어요?', '딱히 없어요', '음ㅎ 사춘기아닌가요?', '모르겠네요', '의욕이 좀 없고 그런가요?', '딱히 그러진 않아요', 'ㅎㅎ먼가 다운된느낌인데', '전 괜찮아요', '네 무슨 수업시간이에요?', '수학', 'ㅎㅎ', 'ㅎㅎ', '궁금한거 없어요?, 하고싶은거라던지', '전 없어요', '상극같은거', '물고기 싫어해요', '낚시?', 'ㅇㅇ', 'ㅎㅎ, 어떤 낚시?', '다 싫어요', '어떤걸 당하셨길래..', '그냥 재미 없어요', '그렇군요, 가수 누구좋아해요,', '요즘 노래를 많이 안들어요', '글쿤요, 하교후 보통 뭐해요?', '그냥 집에 있어요', '그렇군요, 학원은 요?', '학원 안가요', '시간 많이남겄네요, 게임해요?', '게임하죠', '어떤게임요?', '롤?', '글큰요', '네', '요기서 사람들과 채팅 많이해요?', '아뇨 처음해봐요', '글쿤요.., 근데 여긴 정상인이 거의 없는데..', '그런거 같아요', 'ㅋㅋ, 이쪽 물들지 마세요', '고마우어요', '본인을 아끼세요, 소중한 나이이고 소중한 몸이에요', '네 알겠습니다', '^^, 제가살아보니 공부도 잘할필요 없습니다 그냥 하고싶은거만 빨리 찾으세요', '알겠슴당', 'ㅋㅋ여기까지 죄송 잔소리로 들릴텐데..', 'ㅂㅇ', 'ㅂㅇㅂㅇ, 아직도ㅋ, 대화상대찾네', 'ㅂㅇ', '?, ㅋ가게?', '이제 가려구요', '잘가, 저기, 라다님, ㅋ뭐해요, 여기서, 혹시 용돈?', '그냥 켜져있었네요', '계속 글올리시는데?', '그냥 톡 할라구', 'kite4528']"
앙챗,단순채팅,chat0029,"['ㅎㅇ', 'ㅎㅇ', '어떤 사람 찾아요? 혹 데이트?', '아니요', '네..그럼 어떤??', '그냥 대화하려구요', '아..네 챗?', 'ㅇ', '몇살이세요?', 16, '아 학굔?', '네 학교에요', '학교에서 하는구나 이걸. 심신한가 보군, 심심ㅋ, 어느 동네예요, 이걸로 친구 사귄적 있음?', '없어요', '여긴 좀 깨끗한? 곳은 아니니 용돈이나 그런 목적 아니면 오지마셈, 보면 알잖아요', '채팅 깨끗한 어플은 없어요?, 다른데도 다 그런가..', '대부분. 악명이라, 익명', '맞아요', '각자의 욕구에 충실ㅋ', '그런거 같아요, 그쪽도 그런 목적으로 채팅건거에요?', '약간은..이중적이죠.ㅋ', '많이 해봤어요?', '몇번.., 차에서도, 텔에서도, 많지는 않규, 하고나면 왜했나 싶은데 또 해보고 싶고 그러네요', '학생이랑도 해요?', '네. 그래서 차에서., 용돈 만남., 여기 잘 보면 많을거에요', '불법아닌가요?', '성매매 자체가 불법이죠', '그러네요, 걸린적 있으세용', '그래도 이렇게들 다.., 걸렸음 이런거 안하죠. 아니 못하겠죠', '그러쿠낭, 여튼 전 안할래요', 'ㅎㅎ궁금한거 해결?, 네., 하자고 안했는데 어딘지도 모르고ㅋ', '네 고마워요', '아직도 안가고 있넹..ㅋ대화 맞는 사람 있어요?', '그냥 켜놓고 있어요', '아 접속시간이 바뀌길래', '잘 모르겠네요', '넹']"
앙챗,단순채팅,chat0032,"['나랑통화하자', '통화 안돼요', '왜ㅜㅜ', '통화 안돼요ㅠ', '라인이나 카톡으로돛안돼??', '응 안돼요']"
앙챗,단순채팅,chat0039,"['광고만 아니면 어떤이야기라도~', '안녕하세요', 'ㅇㅇ반가워, 마포구 쪽 사시나보네', '네 반가워요', '어떤이야기로 썰풀며 즐겁게 대화를 해볼까용~~, 집? 일하시느느중?', '편하신대로, 학교에요', '홍대생???', '저 아직 중학생이ㅔㅇ요', '컥;;;;;;;;, 20대라고 표기되서 흠 글쿠나', '네;;', '여긴 거의 성적인 곳인데 이런 위험한 곳에,,ㅋㅋ', '다 조건만남 이런거밖에 없나요?', '응응 쪽지 오는거 보면 알잖아 아마 너한테 쪽지가는것들 보면, 면남자들 만나서 섹스하자 아니면, 면자기 벗은 사진 보여주고 그러지 않어?', '맞아요, 다른 어플도 다 그런가요?', '아마도 그렇겠지, 너의 또래 친구사귀고 할 수 있는 어플은 아마 없을거야', '그렇군요', '어쩌겟어 사회가 그런걸', '문제가 많아요 그죵..?', '성인들이 그러는건 상관없는데 또 다단계나 조폭들이 이런곳에 연류되어있고ㅗ 등등 그래서 문제지', '그런곳도 많은가보죠?', '응응., 여긴 정상적인 대화 할려는 사람 1 도읍어', '그쪽도 정상적인 대화를 하려고 하는건 아니였죠?', '응응 난 파트너 만들려고 온거지', '더럽구만']"
앙챗,단순채팅,chat0045,"['아무얘기나 해여', '네', '뭐하세요, 점심드셨어요?', '네 점심 먹었습니다', '대학생이에여?', '아뇨 중학생인데', '중학생이에요?ㅋㅋㅋㅋ, 좋을때다..', '넴 16살', '와ㅋㅋㅋ내랑 띠동갑이시넼ㅋㅋ', 'ㅎㅎㅎ', 'ㅋㄲㅋ점심시간끝났져?', '네 끝났어요', '고등학교는 어디로 진학하시게여?', '뺑뺑이로 가겟죠', '흠 가고싶은데는 없어여?', '넵 집이 조아요', '아니ㅋㅋ고등학교', '그냥 근처면 좋아요', '음…., 공부 소질이 없나보네 아니면 죄송', 'ㅇㅇ마자요', '공부 하기 싫죠?', 'ㅇㅇㅇ', '우야노…, 공부는 하기싫고 놀기만 좋고', '그래도 공부는 해야죠', '그쳐..나중에 후회해여', 'ㅇㅇㅇ', '이폰 주인이 딱 그런 케이스라 공부 하기싫어서, 놀기만하다 망해서ㅋㅋ, 옆에서 더럽게 잘자네요 아휴', '남 폰으로 하는건가요?', '옆에동생꺼라ㅋㅋ, 어플 깔려있길래 구경하다가 그쪽이랑 챗하고있어여', '넴', 'ㅋㅋㅋㅋㅋㅋㅋ안졸려요? 밥먹고 공부할라면', '괜찮아ㅛ', '어린게 좋긴좋네..', 'ㅇㅇ', '공부 열심히해여 학생', '네']"
앙챗,단순채팅,chat0049,"['하이', 'ㅎㅇ', '반가워요, 어디사셈?, 거리가 가까운듯..ㅋ', '서울 살아요', '저도 서울요, 서울 어디살아요?', '중구에 살아요', '중구면 약수?', '그 근처죠', '가까네요, 집에 혼자게심?, 밖에 바람 엄청 불어요..', '학교에요', '대학생임?, 동국대?', '아뇨 저 중학생인데…', '아.., 공부 열심히하세요^^', '네 감사합니다']"
앙챗,단순채팅,chat0058,"['아직도 있네요??^^', '누구시죵', '오전에 심심하서 톡한.., 지금은 어디예요?', '학교죠', '아직, 이걸로 사람들 본적도 있어요?', '아뇨 없어요']"
앙챗,단순채팅,chat0061,"['존나심심하다', 'ㅎㅎㅎ', '20살이야?', '아뇨 중학생이에요', '너무어리다']"
앙챗,단순채팅,chat0065,"['ㅂ., 방가워요', 'ㅎㅇ요', '네 방가워요', '넵넵', '어디사세요?', '중구살아요', '학생이세요?', '네 학생이에요', '좋을때네요 부럽네요', 'ㅎㅎ', '여긴 자주오세요?', '아뇨 처음와밨어요', '여긴 어떤거 같아요?', '잘 모르겠네요 어떤곳인가여', '여긴 거의다 섹스만남요ㅠㅠ', '아 그런곳이구나', '저는 건전을찾는데 없어요ㅠㅠ', '그러쿠낭', '우리 무슨얘기 할까요?, 궁금하거나?남자에 대해서!ㅋㅋ', '괜찮아여 안궁금하네용', '그럼 무슨대화 할까요?', '그냥 이런저런 대화ㅎㅎ', '경제?', '어려운데', '장래희망이 뭔가요?', '아직모르겠어요', '전공이 뭔데요?', '저 중학생인데']"
