source,label,message_idx,author,text
PJ chats,1,0,decoy,"안녕, 나 매즈야"
PJ chats,1,0,Billy Joe,"안녕, 자기야"
PJ chats,1,0,Billy Joe,거의 일 다 끝났어. 정말 기뻐
PJ chats,1,0,decoy,안녕 :) 그거 좋은 거지?
PJ chats,1,0,Billy Joe,응
PJ chats,1,0,decoy,그럼 뭐 새로운 일 있어? ㅋㅋ
PJ chats,1,0,Billy Joe,없어
PJ chats,1,0,Billy Joe,샤워할 때 그거 만졌어? ㅋㅋ
PJ chats,1,0,decoy,"아니, 빨리 해야 했어 ㅋㅋ"
PJ chats,1,0,decoy,잠깐만
PJ chats,1,0,decoy,"미안, 엄마가 자꾸 나한테 이래라저래라 해 ㅋㅋ"
PJ chats,1,0,Billy Joe,그거 진짜 짜증나겠다
PJ chats,1,0,decoy,"응, 짜증 나. 너는 엄마랑 잘 지내?"
PJ chats,1,0,Billy Joe,그랬다가..엄마가 좀 참견이 많아
PJ chats,1,0,decoy,여전히 ㅋㅋ
PJ chats,1,0,Billy Joe,응
PJ chats,1,0,decoy,너랑 엄마 둘이야?
PJ chats,1,0,Billy Joe,지금 뭐 하고 있어?
PJ chats,1,0,Billy Joe,응
PJ chats,1,0,decoy,나도 마찬가지야 :)
PJ chats,1,0,Billy Joe,그 기분 알아
PJ chats,1,0,decoy,나는 수업에 갈 신발을 가지러 나갈 준비 중이야. 아마 수업 끝나고 돌아올 거야
PJ chats,1,0,decoy,"엄마가 지금 나한테 시비 걸고 있는데, 돌아가면 전화해도 될까"
PJ chats,1,0,decoy,8시쯤 될 거 같아
PJ chats,1,0,Billy Joe,아...
PJ chats,1,0,Billy Joe,"샤워 끝난 후, 핫한 속옷 입었어?"
PJ chats,1,0,decoy,엄마가 방에 있으면 몰래 전화할 수 있을 거 같아
PJ chats,1,0,Billy Joe,집에선 전화 서비스가 안 돼
PJ chats,1,0,decoy,아마도
PJ chats,1,0,decoy,그래?
PJ chats,1,0,Billy Joe,나는 주립 숲 근처에 살아
PJ chats,1,0,decoy,그럼 낮이 항상 나아?
PJ chats,1,0,Billy Joe,정말 안 좋아
PJ chats,1,0,Billy Joe,응
PJ chats,1,0,decoy,야생 동물 보이냐고 ㅋㅋ
PJ chats,1,0,Billy Joe,내일은 나갈 수 있길 바랄게
PJ chats,1,0,Billy Joe,"응, 야생 동물들이 있어"
PJ chats,1,0,decoy,"엄마가 집에 없다는 걸 확인하고, 좀 더 이야기할 시간이 필요해서 며칠 간 시간을 가지려고 해. 괜찮을까?"
PJ chats,1,0,Billy Joe,좋아
PJ chats,1,0,decoy,"나도 네 목소리가 듣고 싶어, 그래야 네가 할아버지 같은 사람 아니란 걸 알 수 있잖아 ㅋㅋ"
PJ chats,1,0,decoy,화났어?
PJ chats,1,0,Billy Joe,할아버지?
PJ chats,1,0,Billy Joe,나 안 늙었어
PJ chats,1,0,Billy Joe,지금 1분만이라도 나한테 전화했으면 좋겠어
PJ chats,1,0,decoy,내가 말한 건 creepy한 60대 노인이 젊고 멋진 남자인 척 하는 거야 ㅋㅋ
PJ chats,1,0,Billy Joe,"나한테 몇 장 사진 보내줘, 알겠지?"
PJ chats,1,0,decoy,그럼 그 사람이 나를 약물로 재우고 트렁크에 넣을 거야
PJ chats,1,0,decoy,나도 그랬으면 좋겠어
PJ chats,1,0,Billy Joe,세상에. 절대 안 돼.. 어쨌든 나는 공원까지 걸어가야 해
PJ chats,1,0,decoy,뭐???
PJ chats,1,0,Billy Joe,그곳엔 배달 트럭 못 들어가. 나는 맥도날드 근처에 주차해야 해
PJ chats,1,0,decoy,너 트럭 얼마나 커?
PJ chats,1,0,Billy Joe,나는 걸어서 갈 거야. 그게 너를 더 안전하게 느끼게 할 거야
PJ chats,1,0,decoy,ㅋㅋ 너 얼마나 빨리 달릴 수 있어?
PJ chats,1,0,Billy Joe,트럭은 커서 공원에 이렇게 큰 트럭 못 들어가
PJ chats,1,0,Billy Joe,나 달릴 수 있어..왜?
PJ chats,1,0,decoy,만약 네가 미쳤으면 내가 도망가야 하니까 ㅋㅋ
PJ chats,1,0,Billy Joe,그래서 너가 맥도날드까지 걸어갈 수 있는지 확인해보고 싶었어
PJ chats,1,0,decoy,그럼 오늘 밤에 너한테 전화할 방법이 없겠네??
PJ chats,1,0,Billy Joe,"나 미치지 않았어, 바보야"
PJ chats,1,0,Billy Joe,"집에서는 전화도 안 돼, 진짜로"
PJ chats,1,0,decoy,엄마가 집에 없으면 나는 어디든지 걸어갈 수 있어 ㅋㅋ
PJ chats,1,0,decoy,"알겠어, 내일 몇 시에 일해?"
PJ chats,1,0,Billy Joe,그것 참 짜증나지. 정말 미안해. 근데 7월에는 그쪽에 휴대폰 기지국이 생긴대
PJ chats,1,0,Billy Joe,6시 아침
PJ chats,1,0,decoy,오 마이 갓
PJ chats,1,0,decoy,그럼 내일 전화 시도해볼까
PJ chats,1,0,Billy Joe,응
PJ chats,1,0,Billy Joe,응
PJ chats,1,0,Billy Joe,아... 너 보고 싶어..ㅋㅋ
PJ chats,1,0,decoy,좋아. ㅋㅋ 엄마 없을 때 나중에 문자할게
PJ chats,1,0,decoy,곧 할 수 있을 거야
PJ chats,1,0,decoy,내가 너한테 사진 보내줄까
PJ chats,1,0,Billy Joe,"오늘 너 못 보니까, 나는 5시쯤 집에 있을 거야"
PJ chats,1,0,decoy,지금은 휴대폰으로 못 하고 컴퓨터로 해야 해
PJ chats,1,0,Billy Joe,응....사진
PJ chats,1,0,Billy Joe,흠... 좋아
PJ chats,1,0,decoy,??
PJ chats,1,0,Billy Joe,너 휴대폰 못 쓰잖아
PJ chats,1,0,Billy Joe,진짜 짜증나
PJ chats,1,0,Billy Joe,ㅋㅋ
PJ chats,1,0,decoy,보통은 할 수 있어 ㅋㅋ
PJ chats,1,0,decoy,나는 스마트폰 있어
PJ chats,1,0,Billy Joe,왜 못 해?
PJ chats,1,0,Billy Joe,전화에 뭐가 잘못됐어?
PJ chats,1,0,decoy,전화 잘 되는데
PJ chats,1,0,decoy,엄마가 내가 한 일 때문에 화났어
PJ chats,1,0,decoy,그리고 카메라를 어떻게든 빼앗았어. 이번 주말까지 돌려받기로 했어
PJ chats,1,0,Billy Joe,그런데 엄마가 네 휴대폰에서 사진 전송을 막았어
PJ chats,1,0,Billy Joe,"아, 알았어"
PJ chats,1,0,Billy Joe,음... 속옷 사진..거울 앞에 구부린 채로...
PJ chats,1,0,Billy Joe,아니면 다리 찢는 거 ㅋㅋ
PJ chats,1,0,decoy,"어떻게든 작동하게 할 수 있을 것 같은데, 엄마가 알면 아예 전화기 뺏길까봐 걱정돼"
PJ chats,1,0,Billy Joe,엄마는 못 알아차릴 거야... 넌 꽤 교활하잖아
PJ chats,1,0,Billy Joe,ㅋㅋ
PJ chats,1,0,decoy,"몰라 ㅋㅋ. 알았어, 나는 차에 있고 엄마가 여기 있어서 너한테 문자 못 보낼 거야. 나중에 YIM은 어때"
PJ chats,1,0,Billy Joe,인터넷 없어
PJ chats,1,0,Billy Joe,정말 미안해
PJ chats,1,0,decoy,"괜찮아 :) 음, 그럼 아침에 문자할게"
PJ chats,1,0,Billy Joe,기대할게
PJ chats,1,0,Billy Joe,너가 그리울 거야..ㅋㅋ
PJ chats,1,0,decoy,좋아 :) 6시 아침은 아니고 좀 늦을 거야 ㅋㅋ
PJ chats,1,0,Billy Joe,좋아
PJ chats,1,0,decoy,"나도 그리워, 이번 주에 엄마 일정을 알아볼게"
PJ chats,1,0,Billy Joe,뽀뽀
PJ chats,1,0,Billy Joe,네가 잘 해결했으면 좋겠다
PJ chats,1,0,decoy,:D )
PJ chats,1,0,decoy,내가 할 거야
PJ chats,1,0,Billy Joe,모두 삭제해...
PJ chats,1,0,decoy,이미 다 했어 :) :)
PJ chats,1,0,Billy Joe,인정해봐. 넌 그게 부드럽게 핥히는 거 원하지 않니? 우리가 계속 얘기하고 있었잖아. 그게 좋지?
PJ chats,1,0,decoy,"응, 좋아 ㅋㅋ"
PJ chats,1,0,Billy Joe,그게 내 여자야
PJ chats,1,0,decoy,그거 멋지다
PJ chats,1,0,Billy Joe,응... 내 여자
PJ chats,1,0,decoy,좋아 :)
PJ chats,1,0,Billy Joe,아아
PJ chats,1,0,decoy,<3
PJ chats,1,0,Billy Joe,"오늘 밤 혼자 네 방에서 사진 찍어. 그것들을 컴퓨터에 업로드해서 내일 나한테 보내줄 수 있지, 알겠지?"
PJ chats,1,0,Billy Joe,네가 얼마나 다리를 찢을 수 있는지 보고 싶어...ㅋㅋ
PJ chats,1,1,decoy,안녕 ㅋㅋ
PJ chats,1,1,Billy Joe,"안녕, 매즈야"
PJ chats,1,1,Billy Joe,MM에 글 남겼어
PJ chats,1,1,decoy,안녕
PJ chats,1,1,Billy Joe,뭐 하고 있어?
PJ chats,1,1,decoy,"나도 거기 있었고 메시지 보냈는데, 거기서 타이핑하는 게 너무 귀찮아서 ㅋㅋ"
PJ chats,1,1,decoy,그래서 바꿨어
PJ chats,1,1,decoy,나 화났어?
PJ chats,1,1,Billy Joe,아니
PJ chats,1,1,decoy,방금 일어났어 ㅋㅋ
PJ chats,1,1,Billy Joe,귀찮아?
PJ chats,1,1,decoy,Meetme로 문자 보내는 게 귀찮아 ㅋㅋ
PJ chats,1,1,Billy Joe,거기서 쓰는 게 뭐가 달라?
PJ chats,1,1,decoy,시간이 더 걸려. 나 이상해 ㅋㅋ
PJ chats,1,1,Billy Joe,괜찮아
PJ chats,1,1,decoy,그럼 6시쯤 전화할 수 없을까?
PJ chats,1,1,Billy Joe,네 컴퓨터에서 사진 보낼 수 있어?
PJ chats,1,1,decoy,응
PJ chats,1,1,Billy Joe,"나는 매일 아침 4시에 일어나서 5:45까지 일하고, 밤 5:30에 집에 돌아와"
PJ chats,1,1,Billy Joe,그때쯤 엄마가 저녁 준비해
PJ chats,1,1,decoy,"오, 알았어"
PJ chats,1,1,decoy,"음, 그냥 계속 시간을 찾아서 전화할 수 있겠지 ㅋㅋ"
PJ chats,1,1,Billy Joe,좋은 생각이야
PJ chats,1,1,decoy,엄마한테 너무 많이 물어보면 내가 뭔가 나쁜 짓 하려고 하는 걸 알 거 같아서 좀 기다려봐야겠어 ㅋㅋ
PJ chats,1,1,Billy Joe,너 컴퓨터에서 사진 보낼 수 있다고 했잖아. 보낼 거야?
PJ chats,1,1,decoy,정말로 나 화 안 났어?
PJ chats,1,1,Billy Joe,아니.. 안 화났어
PJ chats,1,1,decoy,"응, 보낼게"
PJ chats,1,1,decoy,좀 미안한 마음이 들어. 정말 미안해
PJ chats,1,1,Billy Joe,언제?
PJ chats,1,1,Billy Joe,나쁜 거야?
PJ chats,1,1,Billy Joe,왜?
PJ chats,1,1,decoy,"나도 너 보고 싶어, 그래서 노력하고 있어"
PJ chats,1,1,Billy Joe,알아
PJ chats,1,1,decoy,그럼 아직도 나 좋아해?
PJ chats,1,1,Billy Joe,"내가 경찰에 신고 안 할 거라는 걸 확실히 하고 싶은데, 내가 너를 믿을 방법이 있으면 좋겠어"
PJ chats,1,1,decoy,나는 안 할 거야
PJ chats,1,1,Billy Joe,내가 믿을 수 있는 방법이 있어. 사진 찍어서 컴퓨터에 올리고 나한테 보내줄 수 있어? 그리고 엄마가 못 보게 지울 수 있으면 좋겠어 ㅋㅋ
PJ chats,1,1,decoy,엄마가 나한테 미칠 거야
PJ chats,1,1,decoy,나는 내 남자친구한테도 말 안 할 거야
PJ chats,1,1,Billy Joe,네가 그렇게 하면 내 인생은 망칠 거야....영원히
PJ chats,1,1,Billy Joe,네 친한 친구? 아니면 남자친구?
PJ chats,1,1,decoy,친한 친구 ㅋㅋ
PJ chats,1,1,decoy,지금 내 카메라는 없고 컴퓨터에 몇 장 사진만 있어
PJ chats,1,1,Billy Joe,아니.. 아무도.. 제발
PJ chats,1,1,decoy,"전화할 수 있어, 내 목소리 들을 수 있는데, 엄마가 있을 때는 안 돼"
PJ chats,1,1,decoy,나는 아무에게도 말 안 할 거야
